time/time_elapsed,time/iterations,train/reward,time/total_timesteps,time/fps,train/std,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
15,17,0.9003851,34816,2228,0.9917412400245667,9.765625e-05,0.00025,11.053170204162598,-0.0002340557664865628,28.357483941316605,7.085077e-05,0.5305112600326538,0.2,160,-1.4099646121263505
16,18,0.13824233,36864,2228,0.992914617061615,9.765625e-05,0.00025,44.251041412353516,-0.0011720066526322626,133.64302477836608,0.0011332706,0.48637253046035767,0.2,170,-1.4111264951527118
17,19,-3.0672228,38912,2232,0.9911719560623169,4.8828125e-05,0.00025,67.82754516601562,-0.00024880779383238403,154.3332692861557,0.00079989573,0.38931065797805786,0.2,180,-1.4110767245292664
18,20,1.4979779,40960,2232,0.9923345446586609,0.0138671875,0.00025,11.554917335510254,-0.0014974502410041168,27.734339654445648,0.0031333305,0.48397284746170044,0.2,190,-1.4109175361692905
19,21,-0.09357748,43008,2233,0.9914104342460632,0.001513671875,0.00025,26.41745376586914,-0.0013160893082385882,112.30009580850601,0.0010904435,0.5667782127857208,0.2,200,-1.4107351996004582
20,22,11.920032,45056,2235,0.9913038015365601,0.011962890625,0.00025,78.93213653564453,-0.003973391054023523,188.05037684440612,0.0032923263,0.5241762399673462,0.2,210,-1.4103533409535884
21,23,-0.40743896,47104,2235,0.9944614768028259,0.0037109375,0.00025,23.925148010253906,-0.00213027598510962,42.68273198604584,0.001180152,0.7029649913311005,0.2,220,-1.4118744403123855
21,24,-0.30520222,49152,2236,0.9904923439025879,0.009912109375,0.00025,112.21503448486328,-0.005149717933090869,121.21257910728454,0.002394852,0.5935174822807312,0.2,230,-1.4113219492137432
22,25,-1.6430595,51200,2238,0.9926928877830505,0.01767578125,0.00025,82.7763671875,-0.0025159837125102056,173.31915555000305,0.004072967,0.6213435530662537,0.2,240,-1.410193146020174
23,26,-0.50225204,53248,2239,0.9926638603210449,0.00732421875,0.00025,72.33350372314453,-0.001372444481239654,140.10916135311126,0.0016010647,0.619067907333374,0.2,250,-1.4119165375828744
24,27,0.29029113,55296,2241,0.9958304762840271,0.004736328125,0.00025,60.8346061706543,-0.00343509061349323,96.86430125832558,0.0011287245,0.5701861679553986,0.2,260,-1.4132315970957279
25,28,-3.5753026,57344,2235,0.99741530418396,0.019287109375,0.00025,97.62472534179688,-0.002065009575744625,220.0467514038086,0.0034098257,0.6418895423412323,0.2,270,-1.415975108742714
26,29,0.013392766,59392,2231,1.000983476638794,0.001025390625,0.00025,121.6598892211914,-0.00036256043531466273,198.99264540672303,0.0020225116,0.6135317087173462,0.2,280,-1.418065720051527
27,30,0.059951775,61440,2232,1.0093778371810913,0.0033203125,0.00025,3.0512068271636963,-0.0009376790767419152,14.484451389312744,0.0009588284,0.8590319603681564,0.2,290,-1.423406045883894
28,31,-0.03678761,63488,2234,1.0149729251861572,0.00927734375,0.00025,100.85952758789062,-0.001511477712483611,262.2821551799774,0.0007011441,0.6354444921016693,0.2,300,-1.4309705808758735
29,32,-3.4543662,65536,2235,1.011898159980774,0.00966796875,0.00025,110.87418365478516,-0.0013137163565261289,274.7473307132721,0.0038447266,0.5246724486351013,0.2,310,-1.432832097262144
30,33,0.1808543,67584,2237,1.0158123970031738,0.004150390625,0.00025,8.955023765563965,-0.000914280753931962,22.436610299348832,0.0005399441,0.8805564567446709,0.2,320,-1.4320802628993987
31,34,0.009247646,69632,2240,1.0142637491226196,0.0091796875,0.00025,149.817626953125,-0.0007754279038636013,338.942577457428,0.002406173,0.5797950923442841,0.2,330,-1.4341412782669067
31,35,-5.9607983,71680,2242,1.0151985883712769,0.006201171875,0.00025,79.897216796875,-0.001094154869497288,344.9630658149719,0.0013117103,0.44159770011901855,0.2,340,-1.4336037628352643
