time/iterations,train/value_loss,train/explained_variance,train/std,time/total_timesteps,train/policy_loss,time/time_elapsed,train/learning_rate,train/reward,train/n_updates,train/entropy_loss,time/fps
1800,371.79931640625,-1.1920928955078125e-07,1.2061446905136108,9000,20.662532806396484,5,0.0007,-0.4780961,1799,-1.6067291498184204,1635
1900,0.00012604879157152027,1.1920928955078125e-07,1.2170217037200928,9500,-0.013406986370682716,5,0.0007,0.000650775,1899,-1.6151330471038818,1634
2000,3.196075704181567e-05,0.0,1.243870496749878,10000,-0.008053155615925789,6,0.0007,-0.00013464768,1999,-1.6369682550430298,1639
2100,4.067926511197584e-07,0.0,1.273796558380127,10500,0.0008659767918288708,6,0.0007,0.0048299814,2099,-1.6606546640396118,1635
2200,0.0003768889291677624,0.0,1.3166941404342651,11000,0.03578405827283859,6,0.0007,-0.00035133594,2199,-1.6932837963104248,1640
2300,0.0002367207343922928,0.0,1.3739280700683594,11500,-0.021919963881373405,6,0.0007,-0.0065061245,2299,-1.7357854843139648,1645
2400,0.0003423022571951151,0.0,1.4592936038970947,12000,0.021875064820051193,7,0.0007,0.0,2399,-1.7965452671051025,1641
2500,9.427928307559341e-05,0.0,1.5168232917785645,12500,0.014963378198444843,7,0.0007,0.00026607575,2499,-1.8353278636932373,1645
2600,0.002532367594540119,0.0,1.5768330097198486,13000,0.0172111876308918,7,0.0007,0.009284208,2599,-1.8742711544036865,1647
2700,0.7642793655395508,0.0,1.6053636074066162,13500,1.395546317100525,8,0.0007,0.120400876,2699,-1.8922207355499268,1645
2800,0.5286846160888672,-0.011044859886169434,1.5983924865722656,14000,0.7770239114761353,8,0.0007,-0.8469025,2799,-1.8877780437469482,1644
2900,2.3172035217285156,0.0,1.5809237957000732,14500,2.057039260864258,8,0.0007,-2.241094,2899,-1.8773345947265625,1644
3000,142.72988891601562,-0.001244664192199707,1.5918583869934082,15000,15.442670822143555,9,0.0007,-0.4354343,2999,-1.8830585479736328,1645
3100,0.026866286993026733,0.0,1.6046487092971802,15500,0.13851609826087952,9,0.0007,0.11597448,3099,-1.8912575244903564,1644
3200,5.585879802703857,0.0,1.603936791419983,16000,2.424063205718994,9,0.0007,1.1564357,3199,-1.8906834125518799,1645
3300,21.606063842773438,0.0,1.60519540309906,16500,7.518675327301025,10,0.0007,-0.8320997,3299,-1.8922903537750244,1642
3400,0.7353358268737793,0.0,1.5942283868789673,17000,-0.5334559679031372,10,0.0007,2.339184,3399,-1.8847827911376953,1642
3500,6.33556604385376,0.0,1.6011691093444824,17500,3.378835678100586,10,0.0007,2.3103092,3499,-1.889249563217163,1641
3600,58.22528076171875,0.0,1.5939593315124512,18000,8.474519729614258,10,0.0007,11.546613,3599,-1.8848708868026733,1640
3700,0.0002650547830853611,0.0,1.611789584159851,18500,0.026435786858201027,11,0.0007,-0.0025397409,3699,-1.896092414855957,1639
3800,0.00011119936971226707,0.0,1.6317270994186401,19000,0.01844962313771248,11,0.0007,-0.0012896288,3799,-1.9083712100982666,1638
3900,9.991798322062095e-08,0.0,1.6663116216659546,19500,0.0006081565516069531,11,0.0007,0.0,3899,-1.9292484521865845,1637
4000,1.196365587929904e-06,0.0,1.7323405742645264,20000,-0.0005774988094344735,12,0.0007,0.0025454035,3999,-1.967995047569275,1635
4100,3.421450674068183e-05,-1.1920928955078125e-07,1.789283275604248,20500,-0.00963624007999897,12,0.0007,0.010874617,4099,-2.00041127204895,1636
4200,0.000185154247446917,0.0,1.8074318170547485,21000,-0.02367245778441429,12,0.0007,0.021542883,4199,-2.0106263160705566,1637
4300,6.500093263639428e-07,0.0,1.8481682538986206,21500,0.0017288770759478211,13,0.0007,0.00030938193,4299,-2.0328760147094727,1637
4400,3.397776936253649e-06,0.0,1.9077917337417603,22000,0.004231062717735767,13,0.0007,-1.7291755e-05,4399,-2.064462900161743,1637
4500,3.252605210946058e-06,-1.1920928955078125e-07,1.9957982301712036,22500,-0.003401491791009903,13,0.0007,0.0,4499,-2.1094777584075928,1638
